Tentacle porn;Pornô de tentaculos
Seduction;Sedução
Smallpox blankets;O gosto refrescante e geladinho do Guaraná Antartica
Licking things to claim them as your own;O cu delicioso do Caio Castro
A salty surprise;Uma surpresa salgada
Golden showers;Golden showers
Wiping her butt;Meus demônios interiores
Queefing;Roubo de doces de crianças órfãs
Getting drunk on mouthwash;Um homem branco numa van
A M. Night Shyamalan plot twist;Gravidez na adolescência
A robust mongoloid;Um mongolóide robusto
Nazis;Nazistas
White privilege;Privilégio branco
An erection that lasts longer than four hours;Uma ereção que dura mais de quatro horas
A disappointing birthday party;Uma festa de aniversario desapontadora
Puberty;Puberdade
Two midgets shitting into a bucket;Dois anões cagando num balde
Wifely duties;Deveres de esposa
The forbidden fruit;O fruto proibido
Getting so angry that you pop a boner;Raul Gil alisando a própria barriga até dormir
Sexual tension;Tensão sexual
Third base;A separação do Calypso
A gassy antelope;Um antílope com gases
Those times when you get sand in your vagina;Aquelas vezes que voce fica com areia na sua vagina
A Super Soaker full of cat pee;Um louco que vive numa caixa e sequestra mulheres
Muhammad (Praise Be Unto Him);Tartarugas de assalto com bafo ácido biologicamente modificadas
Racially-biased SAT questions;O fim dos dias
Porn stars;Estrelas pornô
A fetus;Um feto
Obesity;Obesidade
When you fart and a little bit comes out;Quando voce peida e um pouquinho sai
Oompa-Loompas;Oompa-Loompas
BATMAN!!!;BATMAN!!!
Black people;Gente negra
Tasteful sideboob;A luz de um bilhão de sóis
Hot people;Gente gostosa
Grandma;Vovó
Cooping a feel;Sacrifício de uma virgem
The Trail of Tears;Trilha de Lágrimas
Famine;Fome
Finger painting;Pintura a dedo
The miracle of childbirth;O milagre do nascimento
Goats eating cans;Cabras comendo latas
A monkey smoking a cigar;Um macaco fumando
Faith healing;Cura pela fé
Parting the Red Sea;Sexo menstrual
Dead babies;Bebês mortos
The Amish;Evangélicos ultraconservadores
Impotence;Impotência
Child beauty pageants;Concursos de beleza infantis
Centaurs;Centauros
AXE Body Spray;Desodorante AXE
Kanye West;Wesley Safadão
Women's suffrage;O direito a voto feminino
Children on leashes;Crianças com coleiras
Harry Potter erotica;Pornografia de Harry Potter
The Dance of the Sugar Plum Fairy;A dança da fada da ameixa doce
Lance Armstrong's missing testicle;O dedo perdido do Lula
Dwarf tossing;Arremesso de anões
Mathletes;Pessoas de exatas
Lunchables;Almoço
Women in yogurt commercials;Mulheres em comerciais de iogurte
John Wilkes Booth;Fernandinho Beira-Mar
Powerful thighs;Coxas poderosas
Mr Clean, right behind you;O Dollynho, bem atrás de você
Multiple stab wounds;Ferimentos de facadas multiplas
An icepick lobotomy;Lobotomia com picador de gelo
Arnold Schwarzenegger;Thais Araújo
Hormone injections;Injeções de hormônios
A falcon with a cap on its head;Um Urubu com chapéu de palha
Foreskin;Prepúcio
Dying;Morte
Stunt doubles;Dublês
The invisible hand;A mão invisível
Jew-fros;Plugs anais
A really cool hat;Um chapéu muito maneiro
Flash flooding;Enchentes
Flavored condoms;Camisinhas saborizadas
Dying of disentery;Morte por disenteria
Sexy pillow fights;Lutas de travesseiros sexy
The Three-Fifths compromise;Tratado de Tordesilhas
A sad handjob;Uma punheta triste
Men;Homens
Historically black colleges;Exclusão social
Sean Penn;Pitty
Heartwarming orphans;Órfãos apaixonantes
Waterboarding;Surf
The clitoris;O clitóris
Vikings;Cangaceiros
Friends who eat all the snacks;Amigos que comem o lanche todo
The Underground Railroad;O metrô
Pretending to care;Fingir que se importa
Raptor attacks;Ataques de dinossauros
A micropenis;Um micropênis
A Gypsy curse;Uma maldicao indígena
Agriculture;Agricultura
Bling;Jóias
A clandestine butt scratch;Uma coçada clandestina na bunda
The South;O sul
Sniffing glue;Cheirar cola
Consultants;Contatinhos
My humps;Meus quadris
Geese;Gansos
Being a dick to children;Ser escroto com crianças
Party poopers;Estraga prazeres
Sunshine and rainbows;Luz do sol e arco-iris
YOU MUST CONSTRUCT ADDITIONAL PYLONS;PARA NOSSA ALEGRIA!
Mutually-assured destruction;Destruicao mutuamente assegurada
Heath Ledger;Os pelos do peito de Tony Ramos
Sexting;Sexting
Whipping it out;Botar o pau para fora
Panda sex;Sexo de pandas
Catapults;Catapultas
Will Smith;Lázaro Ramos
An Oedipus complex;Complexo de Edipo
Eating all of the cookies before the AIDS bake-sale;AAAAAAAAAAAAAAAAAAAAAAAAAA
A sausage festival;Um festival de salsicha
Michael Jackson;Roberto Carlos
Skeletor;A Cuca
Chivalry;Cavalheirismo
Sharing needles;Compartilhar de seringas
Being rich;Riqueza
Muzzy;Tapado
Count Chocula;O Leão do Proerd
Spontaneous human combustion;Combustão espontânea
College;Faculdade
A zesty breakfast burrito;Acarajé no café da manhã
Christopher Walken;Nazaré Tedesco segurando uma tesoura
Friction;Fricção
Balls;Bolas
AIDS;AIDS
The KKK;O KKK
Figgy pudding;Pudim
Seppuku;Seppuku
Marky Mark and the Funky Bunch;É o Tchan
Gandhi;Gandhi
Dave Matthews Band;Paralamas do Sucesso
Preteens;Preadolescentes
The token minority;A minoria simbólica
Friends with benefits;Amigos com beneficios
Re-gifting;Presentes
Pixelated bukkake;Bukkake pixelado
Substitute teachers;Professores substitutos
Take-backsies;Treta
A thermonuclear detonation;Uma detonacao termonuclear
The Tempur-Pedic Swedish Sleep System;Sono durante uma aula chata
Waiting 'til marriage;#EuEscolhiEsperar
A tiny horse;Um cavalinho
A can of whoop-ass;Vergonha na cara
Dental dams;Cáries dentais
Feeding Rosie O'Donnell;Pastel de queijo e caldo de cana
Old-people smell;Cheiro de gente velha
Genghis Khan;Lampião
Authentic Mexican cuisine;Cozinha mexicana autentica
Oversized lollipops;Pirulitos Gigantes
Garth Brooks;Louro José
Keanu Reeves;Palmirinha vestida de paquita
Drinking alone;Mulheres fortes
The American Dream;Intervenção Militar
Taking off your shirt;Topless
Giving 110%;Meritocracia
Flesh-eating bacteria;Bacteria comedora de carne
Child abuse;Abuso infantil
A cooler full of organs;Um freezer cheio de órgãos
A moment of silence;Um momento de silêncio
The Rapture;Sandy e Junior
Keeping Christ in Chrismas;Sonhos eróticos com o Abaporu
Robocop ;Robocop
That one gay Teletubby;Aquele teletubbie gay
Sweet, sweet vengeance;Doce, doce vinganca
Fancy Feast;Banquete chique
Pooping back and forth. Forever.;Uma colonoscopia com suas próprias fezes todos os dias
Being a motherfucking sorcerer;O chupacu
Jewish fraternities;Fraternidades judias
Edible underpants;Roupa intima comestivel
Poor people;Gente pobre
Cybernetic enhancements;Melhorias ciberneticas
Serfdom;Servidão
Another goddamn vampire movie;Outro maldito filme de vampiro
Glenn Beck catching his scrotum on a curtain hook;A Ana Maria Braga dançando Ragatanga de biquini fio-dental de estampa de oncinha
A big hoopla about nothing;Uma grande comoção por motivo nenhum
Peeing a little bit;Um pouquinho de mijo
The Hustle;A agitação
Ghosts;Fantasmas
Bananas in Pajamas;Bananas de Pijamas
Active listening;Escuta ativa
Dry heaving;Vômito de ar
Kamikaze pilots;Pilotos kamikaze
The Force;A Força
Anal beads;Vibradores azuis
The Make-A-Wish Foundation;Criança Esperança
;Jair Messias Bolsonaro
;Lula Livre
;Negros
;Corrupção
;Uma velha que sabe trabalhar o piru
;Tomando uma gozada na cara
;Critica social foda
;Ficar tão puto que você fica de pau duro
;Sambar como se não houvesse amanhã
;Machismo
;Fazer uma operação para aumentar o tamanho do pau
;Um passado distante
;Um pedaço de unha 
;Uma tapioca de queijo minas e presunto
;Bala ou MD
;50,000 volts bem no mamilo
;Transando com o âncora do jornal ao vivo
;Coisa de cigana
;Vender minha arte na praia
;Fascistas
;Minorias
;Diversidade étnica
;Felipe Neto
;Auto asfixiação erótica
;O Sul é o meu país
;Julgar todo mundo
