Coat hanger abortions;Abortos com cabide
Eating all of the cookies before the AIDS bake-sale;AAAAAAAAAAAAAAAAAAAAAAAAAA
A sausage festival;Um festival de salsicha
Michael Jackson;Roberto Carlos
Skeletor;A Cuca
Chivalry;Cavalheirismo
Sharing needles;Compartilhar de seringas
Being rich;Riqueza
Muzzy;Tapado
Count Chocula;O Leão do Proerd
Spontaneous human combustion;Combustão espontânea
College;Faculdade
Necrophilia;Necrofilia
The Chinese gymnastics team;A seleção chinesa de ginástica
Global warming;Aquecimento global
Farting and walking away;Peidar e sair de fininho
Cookie Monster devouring the Eucharist wafers;O Mau correndo pelos encanamentos da Assembléia de Deus
Stifling a giggle at the mention of Hutus and Tutsis;Um galo com papete
Penis envy;Inveja peniana
Letting yourself go;Liberdade pessoal
White people;Gente branca
Dick Cheney;Eduardo Cunha
Leaving an awkward voicemail;Um voicemail bizarro
Yeast;Fermento
Natural selection;Seleção natural
Masturbation;Masturbação
Twinkies;Bolinhos Bauducco
A LAN party;Festa junina
Opposable thumbs;Polegares opositores
A grande sugar-free iced soy caramel macchiato;Um capuccino grande, sem açúcar, gelado e com caramelo de soja
Soiling oneself;Sujar-se
A sassy black woman;Uma mulher negra audaciosa
Sperm whales;Lontras com meias de bolinhas e nariz de palhaço
Teaching a robot to love;O ensino de emoções a um robô
Scrubbing under the folds;A Rita Lee vestida de banana
A drive-by shooting;Um tiroteio
Whipping it out;Chicoteio
Panda sex;Sexo de pandas
Catapults;Catapultas
Will Smith;Lázaro Ramos
Toni Morrison's vagina;O pênis do Alexandre Pires
Five-Dollar Foot-longs;32 cm
Land mines;Minas terrestres
A sea of troubles;Um mar de problemas
A zesty breakfast burrito;Acarajé no café da manhã
Christopher Walken;Nazaré Tedesco segurando uma tesoura
Friction;Fricção
Balls;Bolas
AIDS;AIDS
The KKK;O KKK
Figgy pudding;Pudim
Seppuku;Seppuku
Marky Mark and the Funky Bunch;É o Tchan
Gandhi;Gandhi
Dave Matthews Band;Paralamas do Sucesso
Preteens;Preadolescentes
The token minority;A minoria simbólica
Friends with benefits;Amigos com beneficios
Re-gifting;Presentes
Pixelated bukkake;Bukkake pixelado
Substitute teachers;Professores substitutos
Take-backsies;Treta
A thermonuclear detonation;Uma detonacao termonuclear
The Tempur-Pedic Swedish Sleep System;Sono durante uma aula chata
Waiting 'til marriage;#EuEscolhiEsperar
A tiny horse;Um cavalinho
A can of whoop-ass;Vergonha na cara
Dental dams;Cáries dentais
Feeding Rosie O'Donnell;Pastel de queijo e caldo de cana
Old-people smell;Cheiro de gente velha
Genghis Khan;Lampião
Authentic Mexican cuisine;Cozinha mexicana autentica
Oversized lollipops;Pirulitos Gigantes
Garth Brooks;Louro José
Keanu Reeves;Palmirinha vestida de paquita
Drinking alone;Mulheres fortes
The American Dream;Intervenção Militar
Taking off your shirt;Topless
Giving 110%;Meritocracia
Flesh-eating bacteria;Bacteria comedora de carne
Child abuse;Abuso infantil
A cooler full of organs;Um freezer cheio de órgãos
A moment of silence;Um momento de silêncio
The Rapture;Sandy e Junior
Keeping Christ in Chrismas;Sonhos eróticos com o Abaporu
Robocop ;Robocop
That one gay Teletubby;Aquele teletubbie gay
Sweet, sweet vengeance;Doce, doce vinganca
Fancy Feast;Banquete chique
Pooping back and forth. Forever.;Uma colonoscopia com suas próprias fezes todos os dias
Being a motherfucking sorcerer;O chupacu
Jewish fraternities;Fraternidades judias
Edible underpants;Roupa intima comestivel
Poor people;Gente pobre
All-you-can-eat shrimps for $4.99;Rodízio de pizza por dez reais
Britney Spears at 55;Anitta aos 65 anos
That thing that electrocutes your abs;Aquela coisa que eletrocutou seu abdomem
The folly of man;A insensatez humana
Fiery poops;Bosta ardente
Cards Against Humanity;Cards Against Humanity
A murder most foul;Um assassinato muito cruel
Me time;Tempo pra mim
The inevitable heat death of the universe;A morte inevitavel do universo
Nocturnal emissions;Emissões noturnas
Daddy issues;Problemas com pai
The hardworking Mexican;Os médicos cubanos
Natalie Portman;Bruna Marquezine
Waking up half-naked in a Denny's parking lot;Sexo no banheiro do Mc Donalds
Nipple blades;Laminas de mamilos
Assless chaps;Calças sem bunda
Full frontal nudity;Nudez frontal completa
Hulk Hogan;Kleber Bambam
Passive-aggression;Passiva-agressividade
Ronald Reagan;Dilma Rousseff
Vehicular manslaughter;Atropelamento
Menstruation;Menstruação
Pulling out;Coito interrompido
Picking up girls at the abortion clinic;Garotas em clínicas de aborto
The homosexual agenda;Ditadura Gay
The Holy Bible;A Biblia Sagrada
World peace;Paz mundial
Dropping a chandelier on your enemies and riding the rope up;Morte aos seus inimigos esmagados por um candelabro 
Testicular torsion;Torção testicular
The milk man;O leiteiro
A time-travel paradox;Um paradoxo temporal
Hot Pockets;Hot Pockets
Guys who don't call;Caras que não ligam
Eating the last known bison;Churrasco de mico-leão-dourado
Darth Vader;Darth Vader
Scalping;Conexão humana genuína
Homeless people;Sem-Teto
The Worlds of Warcraft;O cu imaculado de Eliana
Gloryholes;Gloryholes
Saxophone solos;Solos de saxofone
Sean Connery;A arte da sedução
God;Deus
Intelligent design;Design inteligente
The taint, the grundle, the fleshy fun-bridge;Um sistema de classes impregnado
Friendly fire;Fogo amigo
Keg stands;Emoções
Eugenics;Eugenia
A good sniff;Uma boa cheirada
Lockjaw;Uma bola de cera de ouvido, semen e pedaços de unha
A neglected Tamagotchi;Um tamagotchi rejeitado
The People's Elbow;Estupidez imensurável
Robert Downey Jr.;Migalhas espalhadas por todo o maldito tapete
The heart of a child;O coracao de uma crianca
Seduction;Sedução
Smallpox blankets;O gosto refrescante e geladinho do Guaraná Antartica
Licking things to claim them as your own;O cu delicioso do Caio Castro
A salty surprise;Uma surpresa salgada
Poorly-timed Holocaust jokes;Piadas sobre o Holocausto em uma hora ruim
My soul;Minha alma
My sex life;Minha vida sexual
Pterodactyl eggs;Ovos de pterodactilos
Altar boys;Seu Coiso, Coisa e Coisinha (ilha Ra-Tim-Bum)
Forgetting the Alamo;Qualquer coisa que saia da boca de Rachel Sheherazade
72 virgins;72 virgens
Raping and pillaging;Epidemia de varíola
Pedophiles;Pedofilos
Eastern European Turbo-Folk music;Um tapa merecido
A snapping turtle biting the tip of your penis;Uma tartaruga mordendo a ponta do seu penis
Pabst Blue Ribbon;Uma vaca louca
Domino's Oreo Dessert Pizza;Um pum engraçado
My collection of high-tech sex toys;Minha colecao de objetos sexuais high-tech
A middle-aged man on roller skates;Um homem de meia idade de patins
The Blood of Christ;O sangue de Cristo
Half-assed foreplay;Preliminares meia-boca
Free samples;Amostras grátis
Douchebags on their iPhones;Babacas em seus Iphones
Hurricane Katrina;Stalin
Wearing underwear inside-out to avoid doing laundry;12 GB de gifs da Gretchen em HD
Republicans;Coxinhas
The glass ceiling;O teto de vidro
A foul mouth;Uma boca suja
Jerking off into a pool of children's tears;Diversão em uma piscina de lágrimas de crianças
Getting really high;Fritação
The deformed;Os deformados
Michelle Obama's arms;Os braços de Marcela Temer
Explosions;Explosões
The Ãœbermensch;Dandara dos Palmares
Donald Trump;Michel Temer
Sarah Palin;Bolsonaro
Attitude;Atitude
This answer is postmodern;Essa resposta é pós-moderna
Crumpets with the Queen;Capitalismo
Frolocking;Morte por falta de ar perto do nariz do Luciano Huck
Team-building exercises;Exercícios de construção de times
Repression;Repressão
Road head;Comunismo
A bag of magic beans;Uma bolsa de feijões mágicos
An asymmetric boob job;Uma espanhola assimétrica
Dead parents;Pais mortos
Public ridicule;Ridicularização em público
A mating display;Exibição de acasalamento
A mime having a stroke;Um mímico tendo um AVC
Stephen Hawking talking dirty;Stephen Hawking falando safadezas
African Children;Criancas africanas
Mouth herpes;Herpes bucal
Overcompensation;Uma vovó pelada
Bill Nye the Science Guy;Destruição da evidência
Bitches;Putas
Italians;Italianos
Have some more kugel;Um milhão de reais em barras de ouro, que valem mais do que dinheiro
A windmill full of corpses;Um moinho de vento cheio de cadáveres
Her Royal Highness, Queen Elizabeth II;Sua alteza, rainha Elizabeth II
Crippling debt;Exatamente o que você esperava
Adderall;Uma corrente interminável de diarréia
A stray pube;Problemas de classe média
Shorties and blunts;Torrada
Passing a kidney stone;Uma camisinha defeituosa
Prancing;Doação de pedra do rim
Leprosy;Lepra
A brain tumor;Um tumor cerebral
Bees ?;Abelhas ?
Puppies !;Cachorrinhos !
Cockfights;Brigas de galo
Kim Jong-Il;Sangue, fadiga, lágrimas e suor
Hope;Esperanca
9oz. of sweet Mexican black-tar heroin;Cu no lugar de olhos
Incest;Incesto
Grave robbing;Roubo de túmulo
Asians who aren't good at math;Asiaticos que não são bons com matematica
Alcoholism;Alcoolismo
(I am doing Kegels right now.);Disfunção erétil
Justin Bieber;Felipe Dylon
The Jews;Os Judeus
Bestiality;Bestialidade
Winking at old people;Crushes
Drum circles;Testemulhas de Jeová
Kids with ass cancer;Crianças com câncer de bunda
Loose lips;Três pintos ao mesmo tempo
Auschwitz;Auschwitz
Civilian casualties;Sopa quente demais
Inappropriate yodeling;Yodeleio inapropriado
Tangled Slinkys;Bomba de hormônios
Being on fire;Uma AK-47
The Thong Song;Uma cara feia
A vajazzled vagina;Uma vagina com joias
Riding off into the sunset;A ira de Vladimir Putin
Exchanging pleasantries;O próprio demônio
My relationship status;Meu status de relacionamento
Shaquille O'Neal's acting career;Uma maldita paz e quietude
Being fabulous;Fabulosidade
Lactation;Lactacao
Not reciprocating oral sex;Sexo oral não-reciproco
Sobbing into a Hungry-Man Frozen Dinner;Minha ex
My genitals;Meus genitais
Date rape;Uma vagina cibernética que faz torrada e tem wifi
Ring Pops;Orgasmo feminino
GoGurt;Um irlandês sóbrio que não se importa com batatas
Judge Judy;Reabilitação por ordem judicial
Lumberjack fantasies;O parto do anticristo
The gays;Os gays
Scientology;Ecstasy
Estrogen;Estrogenio
Police brutality;Brutalidade policial
Passable transvestites;Travestis passaveis
The Virginia Tech Massacre;Pessoas sem pele
Tiger Woods;Um homem quase gozando
Dick Fingers;Dedos em formato de penis
Racism;Racismo
Glenn Beck being harried by a swarm of buzzards;Racismo reverso
Surprise sex !;Sexo surpresa !
Classist undertones;Sutilezas classistas
Booby-trapping the house to foil burglars;Os tweets do Neymar Jr.
New Age music;Musicas atuais
PCP;Seu irmão estranho
A lifetime of sadness;Uma vida de tristezas
Doin't it in the butt;Calças extremamente apertadas
Swooping;Fraldas sujas
The Hamburglar;Casamento, procriação, seguida de fotos, aposentadoria e morte
Tentacle porn;Pornô de tentaculos
A hot mess;O boi tatá
Too much hair gel;Muito gel de cabelo
A look-see;Células-tronco embrionárias
Not giving a shit about the Third World;Forças misteriosas fora do nosso controle
American Gladiators;Ira menstrual
The Kool-Aid Man;Os ritmos africanos
Mr. Snuffleupagus;Acidentes horríveis de depilação a laser
Barack Obama;Objetos brilhantes
Golden showers;Golden showers
Wiping her butt;Meus demônios interiores
Queefing;Roubo de doces de crianças órfãs
Getting drunk on mouthwash;Um homem branco numa van
A M. Night Shyamalan plot twist;Gravidez na adolescência
A robust mongoloid;Um mongolóide robusto
Nazis;Nazistas
White privilege;Privilégio branco
An erection that lasts longer than four hours;Uma ereção que dura mais de quatro horas
A disappointing birthday party;Uma festa de aniversario desapontadora
Puberty;Puberdade
Two midgets shitting into a bucket;Dois anões cagando num balde
Wifely duties;Deveres de esposa
The forbidden fruit;O fruto proibido
Getting so angry that you pop a boner;Raul Gil alisando a própria barriga até dormir
Sexual tension;Tensão sexual
Third base;A separação do Calypso
A gassy antelope;Um antílope com gases
Those times when you get sand in your vagina;Aquelas vezes que voce fica com areia na sua vagina
A Super Soaker full of cat pee;Um louco que vive numa caixa e sequestra mulheres
Muhammad (Praise Be Unto Him);Tartarugas de assalto com bafo ácido biologicamente modificadas
Racially-biased SAT questions;O fim dos dias
Porn stars;Estrelas pornô
A fetus;Um feto
Obesity;Obesidade
When you fart and a little bit comes out;Quando voce peida e um pouquinho sai
Oompa-Loompas;Oompa-Loompas
BATMAN!!!;BATMAN!!!
Black people;Gente negra
Tasteful sideboob;A luz de um bilhão de sóis
Hot people;Gente gostosa
Grandma;Vovó
Cooping a feel;Sacrifício de uma virgem
The Trail of Tears;Trilha de Lágrimas
Famine;Fome
Finger painting;Pintura a dedo
The miracle of childbirth;O milagre do nascimento
Goats eating cans;Cabras comendo latas
A monkey smoking a cigar;Um macaco fumando
Faith healing;Cura pela fé
Parting the Red Sea;Sexo menstrual
Dead babies;Bebês mortos
The Amish;Evangélicos ultraconservadores
Impotence;Impotência
Child beauty pageants;Concursos de beleza infantis
Centaurs;Centauros
AXE Body Spray;Desodorante AXE
Kanye West;Wesley Safadão
Women's suffrage;O direito a voto feminino
Children on leashes;Crianças com coleiras
Harry Potter erotica;Pornografia de Harry Potter
The Dance of the Sugar Plum Fairy;A dança da fada da ameixa doce
Lance Armstrong's missing testicle;O dedo perdido do Lula
Dwarf tossing;Arremesso de anões
Mathletes;Pessoas de exatas
Lunchables;Almoço
Women in yogurt commercials;Mulheres em comerciais de iogurte
John Wilkes Booth;Fernandinho Beira-Mar
Powerful thighs;Coxas poderosas
Mr Clean, right behind you;O Dollynho, bem atrás de você
Multiple stab wounds;Ferimentos de facadas multiplas
Cybernetic enhancements;Melhorias ciberneticas
Serfdom;Servidão
Another goddamn vampire movie;Outro maldito filme de vampiro
Glenn Beck catching his scrotum on a curtain hook;A Ana Maria Braga dançando Ragatanga de biquini fio-dental de estampa de oncinha
A big hoopla about nothing;Uma grande comoção por motivo nenhum
Peeing a little bit;Um pouquinho de mijo
The Hustle;A agitação
Ghosts;Fantasmas
Bananas in Pajamas;Bananas de Pijamas
Active listening;Escuta ativa
Dry heaving;Vômito de ar
Kamikaze pilots;Pilotos kamikaze
The Force;A Força
Anal beads;Vibradores azuis
The Make-A-Wish Foundation;Criança Esperança
;Pessoas de Humanas
;Aplausos ao sol
;Heterossexuais
;Rebuceteio
;Péssimas escolhas de vida 
;Pessoas pobres
;Pessoas ricas
;Minha vagina
;Personagens femininas fortes
;Sexo consensual
;Um balde de cabeças de peixes
;Um coração de uma criança
;A vida de um pirata
;Crucificação
;Cinco litros de cachaça
;O ursinho Pooh possuído pelo demônio
;Um bangalô na praia
;Uma capivara bebê usando pantufinhas e pijaminha azul
;Empregos
;400 anos de atrocidades coloniais
;Pessoas indígenas
;Uma bela xícara de café
;Uma tribo de mulheres guerreiras
;Rolezeira
;Memes
;Trenzinho Carreta Furacão
;Silvio Santos jogando dez aviõezinhos de 100 reais
;Uma manchete de notícia do Ego
;As bailarinas do Faustão
;A Maisa tirando a peruca do Silvio Santos
;A Glória Maria doidona na Jamaica
;Apropriação cultural
;Um cachorro quente de rua com recheio de procedência duvidável
